id,effectV2,effectV1
329,Before each spell: caster must speak a new and original rhyme, Caster and allies lose Â½ their hit points
330,Before each spell: caster must speak a new and relevant pun, Caster and allies regain Â½ their hit points lost
331,Before each spell: caster must speak ill of a good friend, Caster and ally swap personae; ally thinks he is the caster
332,Before each spell: caster must tear one article of clothing, Caster and alternate Prime Material counterpart exchange places
333,Before each spell: caster must tie a knot in a piece of string, Caster and familiar exchange places
334,Before each spell: caster must touch his eyes: ears: and nose, Caster and familiar exchange species
335,Before each spell: caster must touch liquid water, Caster and his possessions are sheathed in aluminum foil
336,Before each spell: caster must trace a circle in the air, Caster and nearest eagle exchange places
337,Before each spell: caster must vow that this is his final spell, Caster and nearest earth elemental exchange places
338,Beneficial magic potions have an opposite effect upon the caster, Caster and nearest entombed corpse exchange places
339,Bits of flesh fall from caster's body until he's a bare skeleton, Caster and nearest Lich exchange places
340,Blades seem extraordinarily dull while caster wields them, Caster and nearest merman exchange places
341,Caster accidentally creates a virulent plague in his workshop, Caster and nearest mummy exchange clothing
342,Caster accuses his nearest ally of murdering him, Caster and nearest sacrificial virgin exchange places
343,Caster acquires an exact copy of every non-magical thing he owns, Caster and nearest statue exchange places
344,Caster acquires lycanthropy: but only in his left leg, Caster and nearest trapped genie exchange places
345,Caster acquires proficiency in some weapon that will never exist, Caster and nearest vampire exchange places at dawn tomorrow
346,Caster addresses everyone he knows by his own name, Caster and random ally exchange heads but retain personalities
347,Caster adopts a habit of nightly self-flagellation, Caster and target dance together for d6 rounds: caster leading
348,Caster adopts a universally obscene gesture as his trademark, Caster and target dance together for d6 rounds: target leading
349,Caster adopts bizarre rituals concerning the preparation of food, Caster and target exchange all possessions
350,Caster adopts fastidious standards of hygiene, Caster and target exchange furtive glances
351,Caster adopts some unlikely animal as a kind of spirit totem, Caster and target exchange heads but retain own personalities
352,Caster adopts some unlikely object as a kind of holy symbol, Caster and target exchange races
353,Caster adopts the next religion he encounters for the first time, Caster and target exchange reflections
354,Caster ages 1d10 years per hour until sunset tonight, Caster and target exchange shadows
355,Caster ages 1d10 years/round for 2, Caster and target seem to look identical
356,Caster ages backwards 2d4 years over that many rounds, Caster and target swap skeletons; 10d8 HP damage each
357,Caster ages normally but forever retains his current appearance, Caster and target switch weapons for 2d10 rounds
358,Caster ages one year per day spent on open water, Caster announces his presence before entering a dark room
359,Caster ages one year per mile that he travels away from this spot, Caster answers every question twice
360,Caster always appears healthy and wealthy, Caster answers questions by starting â€œBack in my day...â€
361,Caster always appears sickly and destitute, Caster apologizes to everyone he injures
362,Caster always feels as if the temperature is what it is right now, Caster appears as beautiful as a nymph while he sleeps
363,Caster always pays 10% more than the asking price, Caster appears as member of the same race as whoever views him
364,Caster always sees his surroundings as misty and fog-shrouded, Caster appears deformed or hideously ugly in sunlight
365,Caster always thinks it's fifty degrees colder than it really is, Caster appears horribly repulsive while he casts spells
366,Caster always thinks that there's one more step in the staircase, Caster appears painfully beautiful while he casts spells
367,Caster and everyone else forgets and can't discern his age, Caster appears paper-thin while asleep
368,Caster and nearest intelligent weapon exchange personalities, Caster appears slightly blurry whenever he casts a spell
369,Caster and one nearby ally teleport to the caster's home, Caster appears to be 5d10 years older but is not
370,Caster annoys everyone by insisting that he's ambidextrous, Caster appears to be 5d10 years younger but is not
371,Caster appears increasingly decrepit as the day wears on, Caster appears to be afflicted with some infectious disease
372,Caster appears to be a bare skeleton from the waist down, Caster appears to be black and white
373,Caster appears to be a bare skeleton from the waist up, Caster appears to be invisible when seen head-on
374,Caster appears to be at full health: no matter how badly injured , Caster appears to be levitating upside down
375,Caster appears to be bleeding profusely whenever he's indoors, Caster appears to be made of glass while he sleeps
376,Caster appears to be composed of translucent quartz, Caster appears to be made of rock and mud while sleeping
